text,label,source,ai_assisted
"СРОЧНО!!! Вы выиграли 1 000 000 долларов! Нажмите http://lucky-winner.xyz чтобы получить приз немедленно!!!",1,human,0
"Купите Виагру со скидкой 90% без рецепта. Доставка за 24 часа. Заходите на сайт.",1,human,0
"Уважаемый клиент, ваш аккаунт будет заблокирован в течение 24 часов. Подтвердите свои данные по ссылке ниже, чтобы избежать потери доступа.",1,ai,1
"Здравствуйте! Мы рады сообщить, что вы были выбраны для участия в эксклюзивной программе. Пожалуйста, подтвердите своё участие, перейдя по ссылке.",1,ai,1
"Здравствуйте, меня зовут Джон, я юрист покойного миллионера. Мне нужно перевести 15 миллионов долларов, и я предлагаю вам стать получателем этих средств.",1,human,0
"Уважаемый получатель, мы заметили подозрительную активность в вашем аккаунте. Пожалуйста, авторизуйтесь для подтверждения личности.",1,ai,1
"ВЫ ВЫИГРАЛИ В ЛОТЕРЕЮ! Ваш email был случайно выбран среди миллионов. Отправьте нам ваши банковские данные для получения приза.",1,human,0
"Здравствуйте! Хотите заработать от 5000 долларов в день, работая из дома? Всё что нужно — ваш номер карты для регистрации.",1,human,0
"Дорогой друг! Я принцесса из Нигерии, мой отец оставил мне наследство, но я не могу его получить без вашей помощи. Прошу вас помочь мне и я щедро вознагражу вас.",1,human,0
"Уважаемый пользователь, наша система обнаружила, что ваш аккаунт не прошёл верификацию. Пожалуйста, подтвердите свои данные в течение 48 часов, чтобы избежать приостановки обслуживания.",1,ai,1
"Привет! Как дела? Давай встретимся завтра в 15:00 в кафе на Ленина.",0,human,0
"Напоминаю про встречу в понедельник в 10:00 в переговорной. Не забудь взять ноутбук с презентацией.",0,human,0
"Здравствуйте! Отправляю вам акт выполненных работ по договору №123 от 15 марта. Проверьте, пожалуйста, и подпишите.",0,human,0
"Спасибо за заказ! Ваш заказ №45678 отправлен, ожидайте доставку в течение 2-3 рабочих дней. С уважением, служба поддержки.",0,human,0
"Здравствуйте! Мы рады представить вам нашу новую линейку продуктов. Ознакомьтесь с каталогом во вложении и свяжитесь с нами для получения дополнительной информации.",0,ai,1
"Уважаемый клиент, благодарим вас за обращение в нашу службу поддержки. Ваш запрос был успешно зарегистрирован под номером 98765.",0,ai,1
"Напоминаем, что ваша подписка истекает через 7 дней. Пожалуйста, продлите её, чтобы сохранить доступ ко всем функциям сервиса.",0,ai,1
